plant_id;signal_id;csv_column;unit;role;dam_id;store_samples;kommentar
drivdal;DRIVDAL_INNTAK_NIVA_NEDSTROM_KOTE_PV;Cluster1.DRIVDAL_INNTAK_NIVA_NEDSTROM_KOTE_PV;moh;DownstreamLevel;drivdal_main;true;Nedstroms kote
drivdal;DRIVDAL_INNTAK_NIVA_OVERLOP_VF_PV;Cluster1.DRIVDAL_INNTAK_NIVA_OVERLOP_VF_PV;m3/s;OverflowFlow;drivdal_main;true;Overloep vannfoering
drivdal;DRIVDAL_INNTAK_MAGASIN_VOLUM_PV;Cluster1.DRIVDAL_INNTAK_MAGASIN_VOLUM_PV;Mill.m3;Other;;true;Magasinvolum
drivdal;DRIVDAL_INNTAK_MAGASIN_FYLLGRAD_PV;Cluster1.DRIVDAL_INNTAK_MAGASIN_FYLLGRAD_PV;%;ReservoirFillFactor;drivdal_main;true;Magasin fyllgrad
drivdal;DRIVDAL_INNTAK_MAGASIN_NED_KAP_PV;Cluster1.DRIVDAL_INNTAK_MAGASIN_NED_KAP_PV;mm;LowestRegulatedLevel;drivdal_main;true;LRV-referanse
drivdal;DRIVDAL_INNTAK_MAGASIN_TOT_VF_PV;Cluster1.DRIVDAL_INNTAK_MAGASIN_TOT_VF_PV;m3/s;Other;;true;Magasin tot vannfoering
drivdal;DRIVDAL_INNTAK_MINVF_LITER_PV;Cluster1.DRIVDAL_INNTAK_MINVF_LITER_PV;l/s;Other;;true;Minstevannfoering
drivdal;DRIVDAL_INNTAK_MINVF_CM_PV;Cluster1.DRIVDAL_INNTAK_MINVF_CM_PV;cm;Other;;true;Minstevannfoering nivaa
drivdal;DRIVDAL_INNTAK_RIST_FALLTAP_PV;Cluster1.DRIVDAL_INNTAK_RIST_FALLTAP_PV;cm;Other;;true;Falltap over rist
drivdal;DRIVDAL_KRST_KONTROLL_KOM_AL;Cluster1.DRIVDAL_KRST_KONTROLL_KOM_AL;None;CommunicationAlarm;;true;Kommunikasjons-alarm
grodemfoss;GRODEM_G2_GEN_P_PV;Cluster1.GRODEM_G2_GEN_P_PV;kW;GeneratorActivePower;;true;G2 aktiv effekt (G1 retired)
grodemfoss;GRODEM_G2_GEN_Q_PV;Cluster1.GRODEM_G2_GEN_Q_PV;kVAr;ElectricalMeasurement;;true;G2 reaktiv effekt
grodemfoss;GRODEM_G2_TURB_VF_PV;Cluster1.GRODEM_G2_TURB_VF_PV;m3/s;TurbineWaterFlow;;true;G2 turbin vannfoering
grodemfoss;GRODEM_G2_TURB_VIRKNGRD_PV;Cluster1.GRODEM_G2_TURB_VIRKNGRD_PV;%;TurbineEfficiency;;true;G2 turbin virkningsgrad
grodemfoss;GRODEM_G2_RORGATE_VANN_TRYKK_PV;Cluster1.GRODEM_G2_RORGATE_VANN_TRYKK_PV;mKVs;HydraulicPressure;;true;G2 roergate trykk
grodemfoss;GRODEM_G2_GEN_AKSLAGER_TSDE_TEMP_PV;Cluster1.GRODEM_G2_GEN_AKSLAGER_TSDE_TEMP_PV;C;Other;;true;Akslager TSDE temp
grodemfoss;GRODEM_G2_GEN_RADLAGER_DE_TEMP_PV;Cluster1.GRODEM_G2_GEN_RADLAGER_DE_TEMP_PV;C;Other;;true;Radlager DE temp
grodemfoss;GRODEM_G2_GEN_RADLAGER_NDE_TEMP_PV;Cluster1.GRODEM_G2_GEN_RADLAGER_NDE_TEMP_PV;C;Other;;true;Radlager NDE temp
grodemfoss;GRODEM_G2_KONTROLL_AGC_DB_SP;Cluster1.GRODEM_G2_KONTROLL_AGC_DB_SP;None;Other;;true;AGC daadband
grodemfoss;GRODEM_G2_KONTROLL_REG_P_SP_SP_LAST;Cluster1.GRODEM_G2_KONTROLL_REG_P_SP_SP_LAST;None;Other;;true;Reg P SP
grodemfoss;GRODEM_G2_KONTROLL_REG_P_SP_TM_PV;Cluster1.GRODEM_G2_KONTROLL_REG_P_SP_TM_PV;None;Other;;true;Reg P TM
grodemfoss;GRODEM_KRST_KONTROLL_KOM_AL;Cluster1.GRODEM_KRST_KONTROLL_KOM_AL;None;CommunicationAlarm;;true;Kommunikasjons-alarm
grodemfoss;GRODEM_SMIEVT_KONTROLL_MAG_FYLLGRD_PV;Cluster1.GRODEM_SMIEVT_KONTROLL_MAG_FYLLGRD_PV;%;ReservoirFillFactor;grodemfoss_main;true;Smievatn fyllgrad
grodemfoss;GRODEM_SMIEVT_KONTROLL_MAG_NEDBKAP_PV;Cluster1.GRODEM_SMIEVT_KONTROLL_MAG_NEDBKAP_PV;mm;LowestRegulatedLevel;grodemfoss_main;true;Smievatn LRV-referanse
grodemfoss;GRODEM_SMIEVT_KONTROLL_MAG_OVLOP_PV;Cluster1.GRODEM_SMIEVT_KONTROLL_MAG_OVLOP_PV;m3/s;OverflowFlow;grodemfoss_main;true;Smievatn overloep
grodemfoss;GRODEM_SMIEVT_KONTROLL_MAG_VOLUM_PV;Cluster1.GRODEM_SMIEVT_KONTROLL_MAG_VOLUM_PV;Mill.m3;ReservoirVolume;grodemfoss_main;true;Smievatn volum
grodemfoss;GRODEM_SMIEVT_KONTROLL_TOT_VF_PV;Cluster1.GRODEM_SMIEVT_KONTROLL_TOT_VF_PV;m3/s;TotalDamFlow;grodemfoss_main;true;Smievatn tot VF
grodemfoss;GRODEM_SMIEVT_NIVA_SENSOR_PRI_HRV_PV;Cluster1.GRODEM_SMIEVT_NIVA_SENSOR_PRI_HRV_PV;cm;UpstreamLevel;grodemfoss_main;true;Smievatn HRV-ref
grodemfoss;GRODEM_SMIEVT_NIVA_SENSOR_PRI_KOTE_PV;Cluster1.GRODEM_SMIEVT_NIVA_SENSOR_PRI_KOTE_PV;moh;UpstreamLevel;grodemfoss_main;true;Smievatn kote
grodemfoss;GRODEM_SMIEVT_NIVA_VTA_PV;Cluster1.GRODEM_SMIEVT_NIVA_VTA_PV;None;Other;;true;Smievatn VTA
honnefoss;HONNE_G1_GEN_P_PV;Cluster1.HONNE_G1_GEN_P_PV;kW;GeneratorActivePower;;true;G1 aktiv effekt
honnefoss;HONNE_G1_GEN_TURTALL_PV;Cluster1.HONNE_G1_GEN_TURTALL_PV;rpm;GeneratorRpm;;true;G1 turtall
honnefoss;HONNE_G1_GEN_F_PV;Cluster1.HONNE_G1_GEN_F_PV;Hz;GeneratorFrequency;;true;G1 frekvens
honnefoss;HONNE_G1_GEN_COSPHI_PV;Cluster1.HONNE_G1_GEN_COSPHI_PV;None;ElectricalMeasurement;;true;cos phi
honnefoss;HONNE_G1_GEN_Q_PV;Cluster1.HONNE_G1_GEN_Q_PV;None;ElectricalMeasurement;;true;reaktiv effekt
honnefoss;HONNE_G1_GEN_S_PV;Cluster1.HONNE_G1_GEN_S_PV;None;ElectricalMeasurement;;true;tilsynelatende effekt
honnefoss;HONNE_G1_GEN_RADLAGER_DE_TEMP_PV;Cluster1.HONNE_G1_GEN_RADLAGER_DE_TEMP_PV;None;Other;;true;G1 radlager DE temp
honnefoss;HONNE_G1_GEN_RADLAGER_NDE_TEMP_PV;Cluster1.HONNE_G1_GEN_RADLAGER_NDE_TEMP_PV;None;Other;;true;G1 radlager NDE temp
honnefoss;HONNE_G1_TURB_VF_PV;Cluster1.HONNE_G1_TURB_VF_PV;m3/s;TurbineWaterFlow;;true;G1 turbin vannfoering
honnefoss;HONNE_G1_TURB_VIRKNGRD_PV;Cluster1.HONNE_G1_TURB_VIRKNGRD_PV;%;TurbineEfficiency;;true;G1 turbin virkningsgrad
honnefoss;HONNE_G1_TURB_LEDEAPP_POS_PV;Cluster1.HONNE_G1_TURB_LEDEAPP_POS_PV;None;GuideVanePosition;;true;G1 ledeapparat posisjon
honnefoss;HONNE_G1_TURB_VANN_TRYKK_PV;Cluster1.HONNE_G1_TURB_VANN_TRYKK_PV;None;HydraulicPressure;;true;G1 turbin vanntrykk
honnefoss;HONNE_G1_RORGATE_VANN_TRYKK_PV;Cluster1.HONNE_G1_RORGATE_VANN_TRYKK_PV;mVs;HydraulicPressure;;true;G1 roergate vanntrykk
honnefoss;HONNE_G1_KONTROLL_AGC_DB_SP;Cluster1.HONNE_G1_KONTROLL_AGC_DB_SP;None;Other;;true;AGC daadband
honnefoss;HONNE_G1_KONTROLL_REG_P_SP_SP_LAST;Cluster1.HONNE_G1_KONTROLL_REG_P_SP_SP_LAST;None;Other;;true;Reg P SP
honnefoss;HONNE_G1_KONTROLL_REG_P_SP_TM_PV;Cluster1.HONNE_G1_KONTROLL_REG_P_SP_TM_PV;None;Other;;true;Reg P TM
honnefoss;HONNE_KRST_KONTROLL_KOM_AL;Cluster1.HONNE_KRST_KONTROLL_KOM_AL;None;CommunicationAlarm;;true;KRST kom-alarm
honnefoss;HONNE_NETT_LINJE_FASE_L1_U_L1_N_PV;Cluster1.HONNE_NETT_LINJE_FASE_L1_U_L1_N_PV;kV;ElectricalMeasurement;;true;Linjefasespenning
honnefoss;HONNE_INNTAK_NIVA_OVERLOP_VF_PV;Cluster1.HONNE_INNTAK_NIVA_OVERLOP_VF_PV;m3/s;OverflowFlow;honnefoss_inntak;true;Inntak overloep VF
honnefoss;HONNE_INNTAK_MAGASIN_NED_KAP_PV;Cluster1.HONNE_INNTAK_MAGASIN_NED_KAP_PV;mm;LowestRegulatedLevel;honnefoss_inntak;true;Inntak LRV-referanse
honnefoss;HONNE_INNTAK_MAGASIN_TOT_VF_PV;Cluster1.HONNE_INNTAK_MAGASIN_TOT_VF_PV;m3/s;TotalDamFlow;honnefoss_inntak;true;Inntak total VF
honnefoss;HONNE_INNTAK_MAGASIN_VOLUM_PV;Cluster1.HONNE_INNTAK_MAGASIN_VOLUM_PV;Mill.m3;ReservoirVolume;honnefoss_inntak;true;Inntak volum
honnefoss;HONNE_INNTAK_MAGASIN_FYLLGRAD_PV;Cluster1.HONNE_INNTAK_MAGASIN_FYLLGRAD_PV;%;ReservoirFillFactor;honnefoss_inntak;true;Inntak fyllgrad
honnefoss;HONNE_KYDLNDVT_KONTROLL_MAG_OVLOP_PV;Cluster1.HONNE_KYDLNDVT_KONTROLL_MAG_OVLOP_PV;m3/s;OverflowFlow;honnefoss_kydlandsvatn;true;Kydlandsvatn overloep
honnefoss;HONNE_KYDLNDVT_KONTROLL_MAG_NEDBKAP_PV;Cluster1.HONNE_KYDLNDVT_KONTROLL_MAG_NEDBKAP_PV;mm;LowestRegulatedLevel;honnefoss_kydlandsvatn;true;Kydlandsvatn LRV-ref
honnefoss;HONNE_KYDLNDVT_KONTROLL_MAG_FYLLGRD_PV;Cluster1.HONNE_KYDLNDVT_KONTROLL_MAG_FYLLGRD_PV;%;ReservoirFillFactor;honnefoss_kydlandsvatn;true;Kydlandsvatn fyllgrad
honnefoss;HONNE_KYDLNDVT_KONTROLL_MAG_VOLUM_PV;Cluster1.HONNE_KYDLNDVT_KONTROLL_MAG_VOLUM_PV;Mill.m3;ReservoirVolume;honnefoss_kydlandsvatn;true;Kydlandsvatn volum
honnefoss;HONNE_KYDLNDVT_KONTROLL_TOT_VF_PV;Cluster1.HONNE_KYDLNDVT_KONTROLL_TOT_VF_PV;m3/s;TotalDamFlow;honnefoss_kydlandsvatn;true;Kydlandsvatn total VF
honnefoss;HONNE_KYDLNDVT_NIVA_SENSOR_PRI_KOTE_PV;Cluster1.HONNE_KYDLNDVT_NIVA_SENSOR_PRI_KOTE_PV;moh;UpstreamLevel;honnefoss_kydlandsvatn;true;Kydlandsvatn kote
honnefoss;HONNE_KYDLNDVT_NIVA_SENSOR_PRI_HRV_PV;Cluster1.HONNE_KYDLNDVT_NIVA_SENSOR_PRI_HRV_PV;cm;UpstreamLevel;honnefoss_kydlandsvatn;true;Kydlandsvatn HRV-ref
honnefoss;HONNE_KYDLNDVT_NIVA_VTA_PV;Cluster1.HONNE_KYDLNDVT_NIVA_VTA_PV;None;Other;honnefoss_kydlandsvatn;true;Kydlandsvatn VTA
honnefoss;HONNE_LIAVT_KONTROLL_KOM_AL;Cluster1.HONNE_LIAVT_KONTROLL_KOM_AL;None;CommunicationAlarm;honnefoss_liavatn;true;Liavatn kom-alarm
honnefoss;HONNE_LIAVT_KONTROLL_MAG_OVLOP_PV;Cluster1.HONNE_LIAVT_KONTROLL_MAG_OVLOP_PV;m3/s;OverflowFlow;honnefoss_liavatn;true;Liavatn overloep
honnefoss;HONNE_LIAVT_KONTROLL_MAG_FYLLGRD_PV;Cluster1.HONNE_LIAVT_KONTROLL_MAG_FYLLGRD_PV;%;ReservoirFillFactor;honnefoss_liavatn;true;Liavatn fyllgrad
honnefoss;HONNE_LIAVT_KONTROLL_MAG_NEDBKAP_PV;Cluster1.HONNE_LIAVT_KONTROLL_MAG_NEDBKAP_PV;mm;LowestRegulatedLevel;honnefoss_liavatn;true;Liavatn LRV-ref
honnefoss;HONNE_LIAVT_KONTROLL_MAG_VOLUM_PV;Cluster1.HONNE_LIAVT_KONTROLL_MAG_VOLUM_PV;Mill.m3;ReservoirVolume;honnefoss_liavatn;true;Liavatn volum
honnefoss;HONNE_LIAVT_KONTROLL_TOT_VF_PV;Cluster1.HONNE_LIAVT_KONTROLL_TOT_VF_PV;m3/s;TotalDamFlow;honnefoss_liavatn;true;Liavatn total VF
honnefoss;HONNE_LIAVT_KONTROLL_LUKER_TOT_VF_PV;Cluster1.HONNE_LIAVT_KONTROLL_LUKER_TOT_VF_PV;m3/s;TotalDamFlow;honnefoss_liavatn;true;Liavatn luker total VF
honnefoss;HONNE_LIAVT_NIVA_SENSOR_PRI_KOTE_PV;Cluster1.HONNE_LIAVT_NIVA_SENSOR_PRI_KOTE_PV;moh;UpstreamLevel;honnefoss_liavatn;true;Liavatn kote
honnefoss;HONNE_LIAVT_NIVA_SENSOR_PRI_HRV_PV;Cluster1.HONNE_LIAVT_NIVA_SENSOR_PRI_HRV_PV;cm;UpstreamLevel;honnefoss_liavatn;true;Liavatn HRV-ref
honnefoss;HONNE_LIAVT_NIVA_VTA_PV;Cluster1.HONNE_LIAVT_NIVA_VTA_PV;None;Other;honnefoss_liavatn;true;Liavatn VTA
honnefoss;HONNE_LIAVT_LUKE1_POS_PV;Cluster1.HONNE_LIAVT_LUKE1_POS_PV;cm;GatePosition;honnefoss_liavatn;true;Liavatn luke1 pos
honnefoss;HONNE_LIAVT_LUKE1_VF_PV;Cluster1.HONNE_LIAVT_LUKE1_VF_PV;m3/s;GateFlow;honnefoss_liavatn;true;Liavatn luke1 VF
honnefoss;HONNE_LIAVT_LUKE1_KONTROLL_AGC_DB_SP;Cluster1.HONNE_LIAVT_LUKE1_KONTROLL_AGC_DB_SP;None;Other;honnefoss_liavatn;true;Liavatn luke1 AGC
honnefoss;HONNE_LIAVT_LUKE2_POS_PV;Cluster1.HONNE_LIAVT_LUKE2_POS_PV;cm;GatePosition;honnefoss_liavatn;true;Liavatn luke2 pos
honnefoss;HONNE_LIAVT_LUKE2_VF_PV;Cluster1.HONNE_LIAVT_LUKE2_VF_PV;m3/s;GateFlow;honnefoss_liavatn;true;Liavatn luke2 VF
honnefoss;HONNE_LIAVT_LUKE2_KONTROLL_AGC_DB_SP;Cluster1.HONNE_LIAVT_LUKE2_KONTROLL_AGC_DB_SP;None;Other;honnefoss_liavatn;true;Liavatn luke2 AGC
honnefoss;HONNE_LIAVT_KONTROLL_REG_LUKE1_POS_SP_SP_LAST;Cluster1.HONNE_LIAVT_KONTROLL_REG_LUKE1_POS_SP_SP_LAST;None;Other;honnefoss_liavatn;true;Liavatn reg luke1 pos SP
honnefoss;HONNE_LIAVT_KONTROLL_REG_LUKE1_POS_SP_TM_PV;Cluster1.HONNE_LIAVT_KONTROLL_REG_LUKE1_POS_SP_TM_PV;None;Other;honnefoss_liavatn;true;Liavatn reg luke1 pos TM
honnefoss;HONNE_LIAVT_KONTROLL_REG_LUKE1_VF_SP_SP_LAST;Cluster1.HONNE_LIAVT_KONTROLL_REG_LUKE1_VF_SP_SP_LAST;None;Other;honnefoss_liavatn;true;Liavatn reg luke1 VF SP
honnefoss;HONNE_LIAVT_KONTROLL_REG_LUKE1_VF_SP_TM_PV;Cluster1.HONNE_LIAVT_KONTROLL_REG_LUKE1_VF_SP_TM_PV;None;Other;honnefoss_liavatn;true;Liavatn reg luke1 VF TM
honnefoss;HONNE_LIAVT_KONTROLL_REG_LUKE2_POS_SP_SP_LAST;Cluster1.HONNE_LIAVT_KONTROLL_REG_LUKE2_POS_SP_SP_LAST;None;Other;honnefoss_liavatn;true;Liavatn reg luke2 pos SP
honnefoss;HONNE_LIAVT_KONTROLL_REG_LUKE2_POS_SP_TM_PV;Cluster1.HONNE_LIAVT_KONTROLL_REG_LUKE2_POS_SP_TM_PV;None;Other;honnefoss_liavatn;true;Liavatn reg luke2 pos TM
honnefoss;HONNE_LIAVT_KONTROLL_REG_LUKE2_VF_SP_SP_LAST;Cluster1.HONNE_LIAVT_KONTROLL_REG_LUKE2_VF_SP_SP_LAST;None;Other;honnefoss_liavatn;true;Liavatn reg luke2 VF SP
honnefoss;HONNE_LIAVT_KONTROLL_REG_LUKE2_VF_SP_TM_PV;Cluster1.HONNE_LIAVT_KONTROLL_REG_LUKE2_VF_SP_TM_PV;None;Other;honnefoss_liavatn;true;Liavatn reg luke2 VF TM
honnefoss;HONNE_LIAVT_STOKKURSHOLEN_MALING_PV;Cluster1.HONNE_LIAVT_STOKKURSHOLEN_MALING_PV;None;Other;honnefoss_liavatn;true;Liavatn Stokkursholen maaling
honnefoss;HONNE_SPJODEVT_KONTROLL_KOM_AL;Cluster1.HONNE_SPJODEVT_KONTROLL_KOM_AL;None;CommunicationAlarm;honnefoss_spjodevatn;true;Spjodevatn kom-alarm
honnefoss;HONNE_SPJODEVT_KONTROLL_AGC_DB_SP;Cluster1.HONNE_SPJODEVT_KONTROLL_AGC_DB_SP;None;Other;honnefoss_spjodevatn;true;Spjodevatn AGC
honnefoss;HONNE_SPJODEVT_KONTROLL_MAG_FYLLGRD_PV;Cluster1.HONNE_SPJODEVT_KONTROLL_MAG_FYLLGRD_PV;%;ReservoirFillFactor;honnefoss_spjodevatn;true;Spjodevatn fyllgrad
honnefoss;HONNE_SPJODEVT_KONTROLL_MAG_NEDBKAP_PV;Cluster1.HONNE_SPJODEVT_KONTROLL_MAG_NEDBKAP_PV;mm;LowestRegulatedLevel;honnefoss_spjodevatn;true;Spjodevatn LRV-ref
honnefoss;HONNE_SPJODEVT_KONTROLL_MAG_OVLOP_PV;Cluster1.HONNE_SPJODEVT_KONTROLL_MAG_OVLOP_PV;m3/s;OverflowFlow;honnefoss_spjodevatn;true;Spjodevatn overloep
honnefoss;HONNE_SPJODEVT_KONTROLL_MAG_VOLUM_PV;Cluster1.HONNE_SPJODEVT_KONTROLL_MAG_VOLUM_PV;Mill.m3;ReservoirVolume;honnefoss_spjodevatn;true;Spjodevatn volum
honnefoss;HONNE_SPJODEVT_KONTROLL_TOT_VF_PV;Cluster1.HONNE_SPJODEVT_KONTROLL_TOT_VF_PV;m3/s;TotalDamFlow;honnefoss_spjodevatn;true;Spjodevatn total VF
honnefoss;HONNE_SPJODEVT_LUKE1_POS_PV;Cluster1.HONNE_SPJODEVT_LUKE1_POS_PV;cm;GatePosition;honnefoss_spjodevatn;true;Spjodevatn luke1 pos
honnefoss;HONNE_SPJODEVT_LUKE1_VF_PV;Cluster1.HONNE_SPJODEVT_LUKE1_VF_PV;m3/s;GateFlow;honnefoss_spjodevatn;true;Spjodevatn luke1 VF
honnefoss;HONNE_SPJODEVT_NIVA_SENSOR_PRI_KOTE_PV;Cluster1.HONNE_SPJODEVT_NIVA_SENSOR_PRI_KOTE_PV;moh;UpstreamLevel;honnefoss_spjodevatn;true;Spjodevatn kote
honnefoss;HONNE_SPJODEVT_NIVA_SENSOR_PRI_HRV_PV;Cluster1.HONNE_SPJODEVT_NIVA_SENSOR_PRI_HRV_PV;cm;UpstreamLevel;honnefoss_spjodevatn;true;Spjodevatn HRV-ref
honnefoss;HONNE_SPJODEVT_NIVA_VTA_PV;Cluster1.HONNE_SPJODEVT_NIVA_VTA_PV;None;Other;honnefoss_spjodevatn;true;Spjodevatn VTA
honnefoss;HONNE_SPJODEVT_MET_LUFTTEMP_PV;Cluster1.HONNE_SPJODEVT_MET_LUFTTEMP_PV;C;Other;honnefoss_spjodevatn;true;Spjodevatn lufttemp
honnefoss;HONNE_SPJODEVT_KONTROLL_REG_LUKE1_POS_SP_SP_LAST;Cluster1.HONNE_SPJODEVT_KONTROLL_REG_LUKE1_POS_SP_SP_LAST;None;Other;honnefoss_spjodevatn;true;Spjodevatn reg luke1 pos SP
honnefoss;HONNE_SPJODEVT_KONTROLL_REG_LUKE1_POS_SP_TM_PV;Cluster1.HONNE_SPJODEVT_KONTROLL_REG_LUKE1_POS_SP_TM_PV;None;Other;honnefoss_spjodevatn;true;Spjodevatn reg luke1 pos TM
honnefoss;HONNE_SPJODEVT_FORSYN_EFOY_FUEL_NIVA_PV;Cluster1.HONNE_SPJODEVT_FORSYN_EFOY_FUEL_NIVA_PV;None;Other;honnefoss_spjodevatn;true;Spjodevatn noedstroem fuel
honnefoss;HONNE_REVSVT_KONTROLL_KOM_AL;Cluster1.HONNE_REVSVT_KONTROLL_KOM_AL;None;CommunicationAlarm;;true;Revsvatn kom-alarm (Liavatn-kraftverk)
honnefoss;HONNE_REVSVT_KONTROLL_MAG_FYLLGRD_PV;Cluster1.HONNE_REVSVT_KONTROLL_MAG_FYLLGRD_PV;%;ReservoirFillFactor;;true;Revsvatn fyllgrad
honnefoss;HONNE_REVSVT_KONTROLL_MAG_NEDBKAP_PV;Cluster1.HONNE_REVSVT_KONTROLL_MAG_NEDBKAP_PV;mm;LowestRegulatedLevel;;true;Revsvatn LRV-ref
honnefoss;HONNE_REVSVT_KONTROLL_MAG_OVLOP_PV;Cluster1.HONNE_REVSVT_KONTROLL_MAG_OVLOP_PV;m3/s;OverflowFlow;;true;Revsvatn overloep
honnefoss;HONNE_REVSVT_KONTROLL_MAG_VOLUM_PV;Cluster1.HONNE_REVSVT_KONTROLL_MAG_VOLUM_PV;Mill.m3;ReservoirVolume;;true;Revsvatn volum
honnefoss;HONNE_REVSVT_KONTROLL_TOT_VF_PV;Cluster1.HONNE_REVSVT_KONTROLL_TOT_VF_PV;m3/s;TotalDamFlow;;true;Revsvatn total VF
honnefoss;HONNE_REVSVT_KONTROLL_SIGSTYRK_PV;Cluster1.HONNE_REVSVT_KONTROLL_SIGSTYRK_PV;None;Other;;true;Revsvatn signalstyrke
honnefoss;HONNE_REVSVT_LUKE1_VF_PV;Cluster1.HONNE_REVSVT_LUKE1_VF_PV;m3/s;GateFlow;;true;Revsvatn luke1 VF
